Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,12,31,596.74,598.42,592.03,593.97,1539300,593.97,593.9035,8.1802330909,602.0837330909,585.7232669091,0.0081293527
2010,12,30,598,601.33,597.39,598.86,989500,598.86,592.796,9.554699808,602.350699808,583.241300192,0.6346614883
2010,12,29,602,602.41,598.92,601,1019200,601,591.0705,11.3494940648,602.4199940648,579.7210059352,0.8748848137
2010,12,28,602.05,603.87,598.01,598.92,1064800,598.92,588.806,13.5658628841,602.3718628841,575.2401371159,0.7455478569
2010,12,27,602.74,603.78,599.5,602.38,1208100,602.38,587.9655,13.4262796019,601.3917796019,574.5392203981,1.0736034425
2010,12,23,605.34,606,602.03,604.23,1110800,604.23,587.3465,13.0055309186,600.3520309186,574.3409690814,1.2981784524
2010,12,22,604,607,603.28,605.49,1207500,605.49,586.8835,12.5289363076,599.4124363076,574.3545636924,1.4850821764
2010,12,21,598.57,604.72,597.61,603.07,1879500,603.07,585.7595,11.7563986945,597.5158986945,574.0031013055,1.4724322005
2010,12,20,594.65,597.88,588.66,595.06,1973300,595.06,585.167,11.1194183396,596.2864183396,574.0475816604,0.8897048117
2010,12,17,591,592.56,587.67,590.8,3087100,590.8,584.9555,10.960434334,595.915934334,573.995065666,0.5332361676
2010,12,16,592.85,593.77,588.07,591.71,1596900,591.71,585.2435,11.1952495917,596.4387495917,574.0482504083,0.5776110615
2010,12,15,594.2,596.45,589.15,590.3,2167700,590.3,584.8355,11.0954274484,595.9309274484,573.7400725516,0.4925001786
2010,12,14,597.09,598.29,592.48,594.91,1643300,594.91,584.5065,11.0221796846,595.5286796846,573.4843203154,0.9438695701
2010,12,13,597.12,603,594.09,594.62,2398500,594.62,584.5345,11.0506734613,595.5851734613,573.4838265387,0.9126593085
2010,12,10,593.14,593.99,590.29,592.21,1704700,592.21,584.968,11.6223996979,596.5903996979,573.3456003021,0.6231071197
2010,12,9,593.88,595.58,589,591.5,1868900,591.5,586.217,13.6133332861,599.8303332861,572.6036667139,0.3880754176
2010,12,8,591.97,592.52,583.69,590.54,1756900,590.54,587.786,15.8747801974,603.6607801974,571.9112198026,0.173482717
2010,12,7,591.27,593,586,587.14,3042200,587.14,589.5,17.9081589756,607.4081589756,571.5918410244,-0.1317835074
2010,12,6,580.57,582,576.61,578.36,2093800,578.36,591.4815,19.7328172489,611.2143172489,571.7486827511,-0.664958269
2010,12,3,569.45,576.48,568,573,2631200,573,593.8175,20.8324708278,614.6499708278,572.9850291722,-0.9992813705
